Dates,PX_TO_BOOK_RATIO,EQY_DVD_YLD_12M,EARN_YLD,CASH_FLOW_YIELD,PX_TO_SALES_RATIO,PX_CLOSE_1D,BASIC_EPS_3YR_AVG_GROWTH,SALES_3YR_AVG_GROWTH,EPS_GROWTH,OPER_INC_TO_NET_SALES,EBIT_TO_NET_SALES,5_YEAR_AVERAGE_ADJUSTED_ROE,CUR_MKT_CAP,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE
2009/01/01,2.6534,1.2535,7.7097,18.1731,1.9736,10940,39.3701,58.1383,79.2849,32.487,32.487,23.7609,202462.6026,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/02,2.5898,1.2842,7.899,18.1731,1.9263,10850,39.3701,58.1383,79.2849,32.487,32.487,23.7609,197610.9642,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/05,2.7634,1.2035,7.4027,18.1731,2.0554,10590,39.3701,58.1383,79.2849,32.487,32.487,23.7609,210859.6691,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/06,2.8612,1.1624,7.1496,18.1731,2.1282,11300,39.3701,58.1383,79.2849,32.487,32.487,23.7609,218323.7281,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/07,2.7389,1.2143,7.4688,18.1731,2.0372,11700,39.3701,58.1383,79.2849,32.487,32.487,23.7609,208993.6543,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/08,2.6228,1.2681,7.7995,18.1731,1.9508,11200,39.3701,58.1383,79.2849,32.487,32.487,23.7609,200130.0841,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/09,2.5653,1.2965,7.9743,18.1731,1.9081,10725,39.3701,58.1383,79.2849,32.487,32.487,23.7609,195744.9494,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/12,2.5433,1.3077,8.0433,18.1731,1.8917,10490,39.3701,58.1383,79.2849,32.487,32.487,23.7609,194065.5361,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/13,2.4602,1.3519,8.3151,18.1731,1.8299,10400,39.3701,58.1383,79.2849,32.487,32.487,23.7609,187925.9332,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/14,2.3491,1.4158,8.7081,18.1731,1.7473,10060,39.3701,58.1383,79.2849,32.487,32.487,23.7609,179444.9815,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/15,2.4333,1.3668,8.407,18.1731,1.8099,9606,39.3701,58.1383,79.2849,32.487,32.487,23.7609,185871.077,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/16,2.4929,1.3341,8.2058,18.1731,1.8543,9950,39.3701,58.1383,79.2849,32.487,32.487,23.7609,190429.1215,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/19,2.4186,1.3751,8.458,18.1731,1.799,10194,39.3701,58.1383,79.2849,32.487,32.487,23.7609,184750.2464,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/20,2.421,1.3737,8.4495,18.1731,1.8008,9890,39.3701,58.1383,79.2849,32.487,32.487,23.7609,184937.0515,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/21,2.3905,1.3913,8.5575,18.1731,1.778,9900,39.3701,58.1383,79.2849,32.487,32.487,23.7609,182601.9877,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/22,2.4027,1.3842,8.514,18.1731,1.7871,9775,39.3701,58.1383,79.2849,32.487,32.487,23.7609,183536.0132,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/23,2.2743,1.4624,8.9946,18.1731,1.6916,9825,39.3701,58.1383,79.2849,32.487,32.487,23.7609,173728.7454,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/26,2.3354,1.4241,8.7592,18.1731,1.7371,9300,39.3701,58.1383,79.2849,32.487,32.487,23.7609,178398.8729,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/27,2.4467,1.3593,8.3608,18.1731,1.8199,9550,39.3701,58.1383,79.2849,32.487,32.487,23.7609,186898.5051,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/28,2.4699,1.3465,8.2822,18.1731,1.8372,10005,39.3701,58.1383,79.2849,32.487,32.487,23.7609,188673.1536,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/29,2.421,1.3737,8.4495,18.1731,1.8008,10100,39.3701,58.1383,79.2849,32.487,32.487,23.7609,184937.0515,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/30,2.3966,1.3878,8.5357,18.1731,1.7826,9900,39.3701,58.1383,79.2849,32.487,32.487,23.7609,183069.0005,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/02,2.3477,1.4167,8.7135,18.1731,1.7462,9800,39.3701,58.1383,79.2849,32.487,32.487,23.7609,179332.8984,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/03,2.4161,1.3765,8.4666,18.1731,1.7971,9600,39.3701,58.1383,79.2849,32.487,32.487,23.7609,184563.4413,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/04,2.3526,1.4137,8.6954,18.1731,1.7498,9880,39.3701,58.1383,79.2849,32.487,32.487,23.7609,179706.5086,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/05,2.3,1.446,8.8942,18.1731,1.7107,9620,39.3701,58.1383,79.2849,32.487,32.487,23.7609,175690.1989,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/06,2.4455,1.36,8.365,18.1731,1.819,9405,39.3701,58.1383,79.2849,32.487,32.487,23.7609,186805.1025,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/09,2.4428,1.3615,8.3742,18.1731,1.817,10000,39.3701,58.1383,79.2849,32.487,32.487,23.7609,186600.19,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/10,2.3795,1.3977,8.5971,18.1731,1.7699,9989,39.3701,58.1383,79.2849,32.487,32.487,23.7609,181761.923,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/11,2.3978,1.387,8.5314,18.1731,1.7835,9730,39.3701,58.1383,79.2849,32.487,32.487,23.7609,183162.9656,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
