Dates,PX_TO_BOOK_RATIO,EQY_DVD_YLD_12M,EARN_YLD,CASH_FLOW_YIELD,PX_TO_SALES_RATIO,PX_CLOSE_1D,BASIC_EPS_3YR_AVG_GROWTH,SALES_3YR_AVG_GROWTH,EPS_GROWTH,OPER_INC_TO_NET_SALES,EBIT_TO_NET_SALES,5_YEAR_AVERAGE_ADJUSTED_ROE,CUR_MKT_CAP,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE
2009/01/01,0.3949,13.9985,16.5994,72.3107,#N/A N/A,897.14,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,40102.9697,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/02,0.4114,13.7276,15.9364,72.3107,#N/A N/A,868.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,40894.4757,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/05,0.4051,13.7276,16.1824,72.3107,#N/A N/A,885.71,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,40894.4757,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/06,0.4212,12.9743,15.5648,72.3107,#N/A N/A,885.71,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,43268.9937,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/07,0.4132,12.7412,15.8647,72.3107,#N/A N/A,937.14,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,44060.4996,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/08,0.4039,12.7871,16.2324,72.3107,#N/A N/A,954.29,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,43902.1984,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/09,0.4333,11.8079,15.1316,72.3107,#N/A N/A,950.86,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,47543.126,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/12,0.4314,11.6911,15.1966,72.3107,#N/A N/A,1029.71,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,48018.0295,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/13,0.4265,12.2146,15.3708,72.3107,#N/A N/A,1040,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,45960.114,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/14,0.3994,12.8179,16.4152,72.3107,#N/A N/A,995.43,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,43796.6643,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/15,0.3985,12.8179,16.4522,72.3107,#N/A N/A,948.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,43796.6643,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/16,0.4109,12.5016,15.954,72.3107,#N/A N/A,948.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,44904.7727,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/19,0.3933,13.1344,16.6672,72.3107,#N/A N/A,972.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,42741.323,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/20,0.4142,12.8179,15.8275,72.3107,#N/A N/A,925.71,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,43796.6643,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/21,0.3995,13.6047,16.4087,72.3107,#N/A N/A,948.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,41263.8452,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/22,0.4071,13.3319,16.1043,72.3107,#N/A N/A,893.71,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,42108.1182,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/23,0.3689,14.6743,17.771,72.3107,#N/A N/A,912,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,38256.1224,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/26,0.3935,13.6747,16.6594,72.3107,#N/A N/A,828.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,41052.7769,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/27,0.4033,13.2986,16.2553,72.3107,#N/A N/A,889.14,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,42213.6523,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/28,0.4175,12.8179,15.7017,72.3107,#N/A N/A,914.29,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,43796.6643,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/29,0.373,14.1852,17.577,72.3107,#N/A N/A,948.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,39575.2991,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/30,0.3769,13.6396,17.3938,72.3107,#N/A N/A,857.14,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,41158.311,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/02,0.3588,14.6139,18.2705,72.3107,#N/A N/A,891.43,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,38414.4236,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/03,0.3727,13.9985,17.5877,72.3107,#N/A N/A,832,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,40102.9697,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/04,0.4197,12.5163,15.6192,72.3107,#N/A N/A,868.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,44852.0056,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/05,0.4072,12.9584,16.0997,72.3107,#N/A N/A,971.43,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,43321.7607,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/06,0.4398,12.0896,14.9065,72.3107,#N/A N/A,938.29,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,46435.0176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/09,0.455,11.6272,14.4091,72.3107,#N/A N/A,1005.71,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,48281.8649,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/10,0.4314,12.2993,15.1978,72.3107,#N/A N/A,1045.71,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,45643.5116,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/11,0.4069,13.1182,16.1117,72.3107,#N/A N/A,988.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,42794.0901,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/12,0.3914,13.5011,16.7477,72.3107,#N/A N/A,926.86,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,41580.4476,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/13,0.3861,13.7099,16.9783,72.3107,#N/A N/A,900.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,40947.2428,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/16,0.3788,13.9985,17.306,72.3107,#N/A N/A,886.86,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,40102.9697,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/17,0.3462,14.9843,18.9344,72.3107,#N/A N/A,868.57,#N/A N/A,#N/A N/A,#N/A N/A,20.6736,#N/A N/A,10.929,37464.6165,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
