Dates,PX_TO_BOOK_RATIO,EQY_DVD_YLD_12M,EARN_YLD,CASH_FLOW_YIELD,PX_TO_SALES_RATIO,PX_CLOSE_1D,BASIC_EPS_3YR_AVG_GROWTH,SALES_3YR_AVG_GROWTH,EPS_GROWTH,OPER_INC_TO_NET_SALES,EBIT_TO_NET_SALES,5_YEAR_AVERAGE_ADJUSTED_ROE,CUR_MKT_CAP,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE
2009/01/01,1.2066,5.4706,7.9647,26.6301,1.6923,1729,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,38081.8428,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/02,1.1995,5.503,8.0118,26.6301,1.6824,1700,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37857.8319,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/05,1.2045,5.4803,7.9788,26.6301,1.6893,1690,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,38014.6395,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/06,1.2414,5.3173,7.7416,26.6301,1.7411,1697,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,39179.4959,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/07,1.2066,5.4706,7.9647,26.6301,1.6923,1749,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,38081.8428,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/08,1.2066,5.4706,7.9647,26.6301,1.6923,1700,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,38081.8428,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/09,1.2208,5.407,7.8721,26.6301,1.7122,1700,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,38529.8645,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/12,1.2315,5.3602,7.804,26.6301,1.7272,1720,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,38865.8807,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/13,1.2151,5.4322,7.9089,26.6301,1.7043,1735,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,38350.6558,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/14,1.1832,5.5789,8.1224,26.6301,1.6595,1712,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37342.607,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/15,1.1704,5.6398,8.211,26.6301,1.6416,1667,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36939.3875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/16,1.174,5.6227,8.1862,26.6301,1.6465,1649,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37051.3929,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/19,1.1782,5.6024,8.1566,26.6301,1.6525,1654,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37185.7994,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/20,1.1463,5.7585,8.3839,26.6301,1.6077,1660,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36177.7506,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/21,1.1356,5.8125,8.4625,26.6301,1.5928,1615,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35841.7344,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/22,1.1633,5.6742,8.2611,26.6301,1.6316,1600,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36715.3767,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/23,1.108,5.9577,8.6739,26.6301,1.554,1639,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,34968.0921,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/26,1.1179,5.9048,8.5968,26.6301,1.5679,1561,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35281.7073,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/27,1.1782,5.6024,8.1566,26.6301,1.6525,1575,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37185.7994,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/28,1.2137,5.4386,7.9181,26.6301,1.7023,1660,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,38305.8536,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/29,1.1647,5.6673,8.2511,26.6301,1.6336,1710,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36760.1788,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/01/30,1.1498,5.7407,8.358,26.6301,1.6127,1641,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36289.7561,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/02,1.1179,5.9048,8.5968,26.6301,1.5679,1620,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35281.7073,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/03,1.1569,5.7055,8.3067,26.6301,1.6227,1575,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36513.7669,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/04,1.1733,5.6261,8.1912,26.6301,1.6455,1630,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37028.9918,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/05,1.1605,5.6881,8.2813,26.6301,1.6276,1653,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36625.7723,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/06,1.1853,5.5689,8.1078,26.6301,1.6625,1635,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37409.8103,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/09,1.1995,5.503,8.0118,26.6301,1.6824,1670,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37857.8319,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/10,1.1711,5.6364,8.2061,26.6301,1.6426,1690,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36961.7886,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/11,1.164,5.6707,8.2561,26.6301,1.6326,1650,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36737.7777,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/12,1.1747,5.6193,8.1813,26.6301,1.6475,1640,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,37073.794,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/13,1.1612,5.6846,8.2763,26.6301,1.6286,1655,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,36648.1734,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/16,1.1222,5.8824,8.5642,26.6301,1.5739,1636,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35416.1138,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/17,1.1257,5.8638,8.5372,26.6301,1.5788,1581,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35528.1192,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/18,1.125,5.8675,8.5426,26.6301,1.5779,1586,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35505.7181,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/19,1.125,5.8675,8.5426,26.6301,1.5779,1585,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35505.7181,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/20,1.1002,6,8.7355,26.6301,1.543,1585,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,34721.6802,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/23,1.1172,5.9085,8.6023,26.6301,1.5669,1550,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35259.3062,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/24,1.1087,5.9539,8.6684,26.6301,1.555,1574,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,34990.4932,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/25,1.1108,5.9425,8.6518,26.6301,1.5579,1562,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35057.6964,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2009/02/26,1.1392,5.7944,8.4361,26.6301,1.5978,1565,-24.2457,-42.0008,-73.206,10.6447,#N/A N/A,18.9133,35953.7398,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
